id	prefLabel_nl	prefLabel_en	altLabels	prefLabel_enSource	prefLabel_enSource_desc	definition	confidence	definitionSource	definitionSource_desc	definitionLanguage	definitionSource_url	definitionSource_url_alt	web_verification	
https://digitaalerfgoed.poolparty.biz/globalise/d213ad22-56ee-488b-a667-acf84cc124bc	Zwavelaarde	sulfur earth		llm (claude-sonnet-4-5)	LLM Dutch_English (authorities and/or corpus contexts)	"Zwavel bevattende aarde, niet geraffineerd"	high	PoolParty	Globalise project	nl	https://hdl.handle.net/10622/YAWDOV			
https://digitaalerfgoed.poolparty.biz/globalise/679abc45-0ec0-4636-ad49-1e76973b1e60	anker	anchor		llm (claude-sonnet-4-5)	LLM Dutch_English (authorities and/or corpus contexts)	"Zwaar ijzeren werktuig, bestemd om, in het water geworpen, met een zijner beide driehoekige bladen in den grond te vatten en alzoo het schip, waaraan het verbonden is, vast te houden op de plaats, waar men wil dat het blijft liggen."	high	wnt	IVDNT historical Dutch dictionary	nl	https://gtb.ivdnt.org/iWDB/search?actie=article&wdb=WNT&id=M003942			
https://digitaalerfgoed.poolparty.biz/globalise/c634c095-638a-4872-87bc-e1967941f194	nila	nila		Same as prefLabel_nl	Dutch label used verbatim	Zowel de naam van een blauw lijnwaad als van de indigo.	high	PoolParty	Globalise project	nl	https://hdl.handle.net/10622/YAWDOV			
https://digitaalerfgoed.poolparty.biz/globalise/377eb937-15e9-4b08-9338-48802dba3e5d	lijk	bolt rope		llm (claude-opus-4-5)	LLM Dutch_English (prefLabel_nl)	zoomtouw of boordsel van een zeil. `Uit de lijken geslagen' = uit het boordsel gescheurd. Het woord lijk - Engels leech - is overgenomen van het Spaanse liga = band.	high	PoolParty	Globalise project	nl	https://hdl.handle.net/10622/YAWDOV			
https://digitaalerfgoed.poolparty.biz/globalise/03d10194-c823-4773-9554-a31b923f5aad	Sambreel	ceremonial parasol		llm (claude-sonnet-4-5)	LLM Dutch_English (authorities and/or corpus contexts)	Zonnescherm.	high	PoolParty	Globalise project	nl	https://hdl.handle.net/10622/YAWDOV			
https://digitaalerfgoed.poolparty.biz/globalise/d0223652-e3b3-40ec-94a9-822f781c1567	Abassi	Abassi	abacis	Same as prefLabel_nl	Dutch label used verbatim	"Zilveren Perzische munt, genoemd naar sjah Abbas I, ter waarde van circa 16 stuiver; 1⁄50 tho- man. Zie hotz, blz. 240 noot."	high	PoolParty	Globalise project	nl	https://hdl.handle.net/10622/YAWDOV			
https://digitaalerfgoed.poolparty.biz/globalise/5fa88d38-97db-43c8-b435-70492b43c870	Ropia	Ropia	Ropij; ropij	Same as prefLabel_nl	Dutch label used verbatim	"zilveren munt, niet overal gelijk van waarde. Meest circa 28 stuiver, verdeeld in 16 ana (P: 16 stuiver.) Ropia's-chaganni zijn vermoedelijk genoemd naar de groot-mogol sjah Jehaan. GM1: het woord is in verschillende vormen in allerlei delen van Azië overgenomen. K: Indiase munt, geslagen door of vanwege de mogols. De marktwaarde volgde de goud- en zilverwaarde en was niet constant. De officiële wisselkoers was in Malabar in 1686 30 stuiver. Deze werd gebruikt in de VOC-boekhouding en bij de berekening van de maandgelden van 's Compagnies dienaren. Als er een groot verschil tussen officiële wisselkoers en marktwaarde ontstond, moest de wisselkoers aangepast worden. Er waren gouden en zilveren mogol-ropia's (1 gouden is 7 1/2 rijksdaalder), Bengaalse zilveren ropia-sicca en bazarropia's (respectievelijk 33 en 30 stuiver) en Suratse ropia's (37 1/2 stuiver)."	high	PoolParty	Globalise project	nl	https://hdl.handle.net/10622/YAWDOV			
https://digitaalerfgoed.poolparty.biz/globalise/3a3c3dcf-6081-4e56-9ef2-0442dfbc3de6	Dukatons	ducatoons		llm (claude-sonnet-4-5)	LLM Dutch_English (authorities and/or corpus contexts)	Zilveren munt ter waarde van 63 stuivers; de waarde van zulk een munt.	high	wnt	IVDNT historical Dutch dictionary	nl	https://gtb.ivdnt.org/iWDB/search?actie=article&wdb=WNT&id=M015376			
https://digitaalerfgoed.poolparty.biz/globalise/3ea32e2a-e0f5-49da-9678-4201cb8c0f08	copees	copees		Same as prefLabel_nl	Dutch label used verbatim	Zijn O.I. katoenen stoffen in den hollandschen en fransschen handel. Zij worden in Bengalen opgekocht en van daar naar eenige streken in Afrika gebragt. Zij worden tegenwoordig ook in Europa (onder anderen in Rouaan) vervaardigd.	high	PoolParty	Globalise project	nl	https://hdl.handle.net/10622/YAWDOV			
https://digitaalerfgoed.poolparty.biz/globalise/b150ce16-eae4-4060-b4b8-63bf57a35ba0	brocades	brocades	brouckado	Same as prefLabel_nl	Dutch label used verbatim	"Zijden stof, met veel kleuren, ook wel goud- en zilverdraad, doorweven. Vergelijk ons brokaatpapier. Italiaans brocare = stikken. T2: brokaat, goudlaken of kostbare met gouddraad doorweven zijde."	high	PoolParty	Globalise project	nl	https://hdl.handle.net/10622/YAWDOV			
